AMSCIT,phd,GoogleScholar,hindex
2530,1971,8452,41
248,1967,,
309,1990,,
1095,1974,,
741,1993,2199,23
666,1996,,
1853,1998,4235,33
120,1996,367,10
2058,1984,5123,37
1158,1980,,
235,1992,656,16
184,2000,482,13
840,1996,2555,28
3077,1977,,
2668,1980,7805,44
1559,1986,2704,27
585,1983,,
643,1991,1304,14
1825,1969,,
796,2005,1681,25
1512,1980,,
656,2004,,
564,1972,,
1048,1979,8227,50
778,1985,1912,22
350,1990,,
1038,1968,,
975,1969,3076,23
2169,1985,8299,49
432,1996,,
974,1988,3816,33
4770,1985,,
3677,1955,,
160,2001,402,12
676,1973,,
534,1989,,
846,1987,,
1716,1986,3875,32
5219,1971,,
1088,1979,,
2551,1964,,
569,1988,,
287,2002,686,14